,StateNamePublicSchoolLatestavailableyear,SchoolNamePublicSchool201415,LocationAddress1PublicSchool201415,LocationCityPublicSchool201415,LocationZIPPublicSchool201415,SchoolTypePublicSchool201415,MagnetSchoolPublicSchool201415,CharterSchoolPublicSchool201415,TitleIEligibleSchoolPublicSchool201415,TitleISchoolStatusPublicSchool201415,LatitudePublicSchool201415,LongitudePublicSchool201415,LowestGradeOfferedPublicSchool201415,HighestGradeOfferedPublicSchool201415,Grade12offeredPublicSchool201415,Grade11offeredPublicSchool201415,Grade10offeredPublicSchool201415,Grade9offeredPublicSchool201415,TotalStudentsAllGradesExcludesAEPublicSchool201415,Grades912StudentsPublicSchool201415,StudentTeacherRatio,Biology,District,English,Math,Reduced Lunch,Free Lunch,Percent Lunch
112,North Carolina,East Forsyth High,2500 W MOUNTAIN STREET,KERNERSVILLE,27284,1,0,0,1,1,36.117527,-80.150532,9th Grade,12th Grade,1,1,1,1,1899,1899,18.14,45.5,Piedmont-Triad,57.7,48.6,96.0,578.0,0.354923644023
113,North Carolina,East Gaston High,1744 LANE ROAD,MOUNT HOLLY,28120,1,0,0,0,6,35.315441,-81.075626,9th Grade,12th Grade,1,1,1,1,1122,1122,16.67,57.7,Southwest,53.4,50.7,78.0,402.0,0.427807486631
114,North Carolina,East Henderson High,110 OLD UPWARD ROAD,EAST FLAT ROCK,28726,1,0,0,1,4,35.297618,-82.424020,9th Grade,12th Grade,1,1,1,1,936,936,14.64,54.8,Western,62.6,53.6,70.0,401.0,0.503205128205
115,North Carolina,East Lincoln High,6471 HWY 73,DENVER,28037,1,0,0,0,6,35.454121,-81.025771,9th Grade,12th Grade,1,1,1,1,924,924,18.09,52.6,Southwest,66.4,62.1,57.0,236.0,0.3170995671
116,North Carolina,East Mecklenburg High,6800 MONROE RD,CHARLOTTE,28212,1,0,0,1,4,35.176007,-80.757978,9th Grade,12th Grade,1,1,1,1,1840,1840,16.52,57.1,Southwest,70.1,63.7,104.0,960.0,0.578260869565
117,North Carolina,East Montgomery High,157 EAGLE LANE,BISCOE,27209,1,0,0,1,4,35.339379,-79.777223,9th Grade,12th Grade,1,1,1,1,632,632,14.58,52.5,Sandhills,47.4,64.4,59.0,364.0,0.669303797468
118,North Carolina,East Rowan High,175 ST LUKE'S CHURCH RD,SALISBURY,28146,1,0,0,1,4,35.593432,-80.423361,9th Grade,12th Grade,1,1,1,1,1055,1055,16.28,45.2,Southwest,51.8,38.6,87.0,363.0,0.42654028436
119,North Carolina,East Rutherford High School,331 EAST HIGH ROAD,BOSTIC,28018,1,0,0,1,4,35.340594,-81.818253,9th Grade,12th Grade,1,1,1,1,714,714,14.76,39.5,Western,41.7,50.3,0.0,711.0,0.995798319328
120,North Carolina,East Surry High,801 W MAIN STREET,PILOT MOUNTAIN,27041,1,0,0,1,4,36.394408,-80.477896,9th Grade,12th Grade,1,1,1,1,641,641,15.35,57.0,Piedmont-Triad,58.2,63.2,54.0,225.0,0.435257410296
121,North Carolina,East Wake Academy,400 NMC DRIVE,ZEBULON,27597,1,0,1,1,2,35.831971,-78.306580,Kindergarten,12th Grade,1,1,1,1,1139,314,15.65,77.6,North Central,90.7,69.7,92.0,94.0,0.163301141352
126,North Carolina,East Wilkes High,13315 ELKIN HWY 268,RONDA,28670,1,0,0,0,6,36.226446,-80.927589,9th Grade,12th Grade,1,1,1,1,548,548,16.53,44.6,Northwest,55.5,37.4,0.0,540.0,0.985401459854
127,North Carolina,Eastern Alamance High,4040 MEBANE ROGERS,MEBANE,27302,1,0,0,1,1,36.113804,-79.301732,9th Grade,12th Grade,1,1,1,1,1256,1256,18.97,53.6,Piedmont-Triad,53.6,54.2,54.0,412.0,0.37101910828
128,North Carolina,Eastern Guilford High,415 PEEDEN DRIVE,GIBSONVILLE,27249,1,0,0,1,4,36.093333,-79.615268,9th Grade,12th Grade,1,1,1,1,1168,1168,15.88,35.3,Piedmont-Triad,52.5,37.5,74.0,667.0,0.634417808219
129,North Carolina,Eastern Randolph High,390 EASTERN RANDOLPH RD,RAMSEUR,27316,1,0,0,1,4,35.755283,-79.616972,9th Grade,12th Grade,1,1,1,1,821,821,16.60,40.0,Piedmont-Triad,42.8,26.1,61.0,417.0,0.58221680877
130,North Carolina,Eastern Wayne High,1135 NEW HOPE ROAD,GOLDSBORO,27534,1,0,0,1,4,35.377732,-77.880540,9th Grade,12th Grade,1,1,1,1,1051,1051,15.01,50.6,Southeast,46.7,33.1,71.0,449.0,0.494766888677
131,North Carolina,Edgecombe Early College High,2009 WEST WILSON ST,TARBORO,27886,1,0,0,0,6,35.879440,-77.572250,9th Grade,13th Grade,1,1,1,1,154,125,19.25,94.3,North Central,93.9,82.8,16.0,38.0,0.350649350649
132,North Carolina,Elkin High,334 ELK SPUR ST,ELKIN,28621,1,0,0,1,1,36.249551,-80.858991,9th Grade,12th Grade,1,1,1,1,393,393,13.25,73.4,Piedmont-Triad,85.2,57.5,26.0,108.0,0.34096692112
133,North Carolina,Emsley A Laney High,2700 N COLLEGE RD,WILMINGTON,28405,1,0,0,1,1,34.298668,-77.872454,9th Grade,12th Grade,1,1,1,1,2141,2131,18.17,56.3,Southeast,62.4,55.9,133.0,791.0,0.431574030827
134,North Carolina,Enka High,475 ENKA LAKE ROAD,CANDLER,28715,1,0,0,1,4,35.529711,-82.665806,9th Grade,12th Grade,1,1,1,1,1237,1237,17.07,59.4,Western,58.9,41.7,110.0,500.0,0.493128536783
135,North Carolina,Erwin High,60 LEES CREEK ROAD,ASHEVILLE,28806,1,0,0,1,4,35.619534,-82.626405,9th Grade,12th Grade,1,1,1,1,1328,1328,16.65,48.8,Western,47.5,42.0,119.0,678.0,0.60015060241
136,North Carolina,Eugene Ashley High,555 HALYBURTON MEMORIAL PARKWY,WILMINGTON,28412,1,0,0,1,4,34.100150,-77.911351,9th Grade,12th Grade,1,1,1,1,1874,1873,18.86,57.5,Southeast,63.0,56.4,145.0,677.0,0.4386339381
137,North Carolina,Fairmont High,5419 OLD STAGE ROAD,FAIRMONT,28340,1,0,0,1,4,34.472385,-79.101855,9th Grade,12th Grade,1,1,1,1,744,744,13.88,36.3,Sandhills,35.6,28.5,0.0,741.0,0.995967741935
138,North Carolina,Farmville Central High,3308 E WILSON STREET,FARMVILLE,27828,1,0,0,1,4,35.593868,-77.568892,9th Grade,12th Grade,1,1,1,1,786,786,15.76,40.7,Northeast,44.0,33.7,64.0,401.0,0.591603053435
139,North Carolina,Fike High,500 HARRISON DR N,WILSON,27893,1,0,0,1,4,35.752893,-77.922225,9th Grade,12th Grade,1,1,1,1,1310,1310,18.52,47.8,North Central,52.3,46.1,56.0,545.0,0.458778625954
140,North Carolina,First Flight High School,100 VETERANS DRIVE,KILL DEVIL HILLS,27948,1,0,0,0,6,36.008836,-75.666492,9th Grade,12th Grade,1,1,1,1,807,807,13.85,65.7,Northeast,78.6,64.3,40.0,165.0,0.254027261462
141,North Carolina,Flemington Academy,400FLEMINGTON DR.,LAKE WACCAMAW,28450,1,0,1,1,5,34.320714,-78.524991,6th Grade,12th Grade,1,1,1,1,74,48,6.03,5.0,Sandhills,36.8,21.7,0.0,69.0,0.932432432432
142,North Carolina,Forbush High,1525 FALCON ROAD,EAST BEND,27018,1,0,0,1,4,36.141350,-80.556340,8th Grade,12th Grade,1,1,1,1,904,904,15.40,66.2,Piedmont-Triad,61.1,42.3,57.0,295.0,0.389380530973
143,North Carolina,Forest Hills High,100 FOREST HILLS SCHOOL RD,MARSHVILLE,28103,1,0,0,1,4,34.979287,-80.413314,9th Grade,12th Grade,1,1,1,1,937,937,14.86,35.7,Southwest,52.5,43.1,91.0,549.0,0.68303094984
144,North Carolina,Forestview High,5545 UNION ROAD,GASTONIA,28056,1,0,0,0,6,35.183439,-81.135602,9th Grade,12th Grade,1,1,1,1,1143,1143,17.94,51.7,Southwest,59.1,56.3,48.0,383.0,0.377077865267
145,North Carolina,Franklin Academy,1127 CHALKS RD,WAKE FOREST,27587,1,0,1,0,6,35.955650,-78.487311,Kindergarten,12th Grade,1,1,1,1,1639,488,15.08,75.4,North Central,91.4,82.2,0.0,408.0,0.248932275778
146,North Carolina,Franklin County Early College,8150 NC HIGHWAY 56,LOUISBURG,27549,1,0,0,0,6,36.086177,-78.330658,9th Grade,13th Grade,1,1,1,1,172,151,28.67,56.4,North Central,81.6,46.0,14.0,64.0,0.453488372093
148,North Carolina,Franklinton High,910 CEDAR CREEK ROAD,FRANKLINTON,27525,1,0,0,0,6,36.069620,-78.436031,9th Grade,12th Grade,1,1,1,1,1008,1008,17.85,38.8,North Central,51.9,53.0,74.0,412.0,0.482142857143
149,North Carolina,Fred T Foard High,3407 PLATEAU ROAD,NEWTON,28658,1,0,0,1,1,35.617507,-81.371066,9th Grade,12th Grade,1,1,1,1,1025,1025,17.08,57.8,Northwest,63.1,61.6,58.0,286.0,0.335609756098
150,North Carolina,Freedom High,511 INDEPENDENCE BOULEVARD,MORGANTON,28655,1,0,0,1,4,35.745194,-81.720672,9th Grade,12th Grade,1,1,1,1,1178,1178,17.98,58.3,Northwest,62.4,54.7,212.0,1413.0,1.37945670628
151,North Carolina,Fuquay-Varina High,201 BENGAL BLVD,FUQUAY-VARINA,27526,1,0,0,0,6,35.597889,-78.797234,9th Grade,12th Grade,1,1,1,1,2117,2117,18.57,59.1,North Central,69.6,65.7,108.0,533.0,0.302786962683
152,North Carolina,Garinger High,1100 EASTWAY DR,CHARLOTTE,28205,1,0,0,1,5,35.241104,-80.782811,9th Grade,12th Grade,1,1,1,1,1748,1748,16.49,37.3,Southwest,35.0,19.0,0.0,1745.0,0.99828375286
153,North Carolina,Garner High,2101 SPRING DR,GARNER,27529,1,1,0,1,4,35.710798,-78.635160,9th Grade,12th Grade,1,1,1,1,2650,2650,18.16,49.8,North Central,62.3,52.6,202.0,957.0,0.437358490566
154,North Carolina,Gaston College Preparatory,320 PLEASANT HILL ROAD,GASTON,27832,1,0,1,1,5,36.504587,-77.639204,Kindergarten,12th Grade,1,1,1,1,1046,332,16.92,85.4,Northeast,94.3,63.9,173.0,582.0,0.721797323136
155,North Carolina,Gaston Early College High School,GASTON COLLEGE LENA SUE BEAM B,DALLAS,28034,1,0,0,1,4,35.311484,-81.189418,9th Grade,13th Grade,1,1,1,1,170,154,20.61,84.4,Southwest,93.6,87.8,16.0,57.0,0.429411764706
156,North Carolina,Gates County Senior High,"=""088 HWY 158 WEST""",GATESVILLE,27938,1,0,0,1,4,36.447458,-76.704504,9th Grade,12th Grade,1,1,1,1,539,539,12.07,57.1,Northeast,62.4,49.2,61.0,192.0,0.469387755102
157,North Carolina,Goldsboro High,901 E BEECH STREET,GOLDSBORO,27530,1,0,0,1,4,35.386752,-77.979992,9th Grade,12th Grade,1,1,1,1,545,545,13.97,16.7,Southeast,25.2,13.5,0.0,521.0,0.955963302752
158,North Carolina,Graham High,903 TROLLINGER ROAD,GRAHAM,27253,1,0,0,1,4,36.076690,-79.380770,9th Grade,12th Grade,1,1,1,1,804,804,16.58,22.5,Piedmont-Triad,34.9,38.9,42.0,171.0,0.264925373134
159,North Carolina,Granville Central High,2043 SANDERS RD,STEM,27581,1,0,0,1,4,36.207623,-78.687185,9th Grade,12th Grade,1,1,1,1,569,569,15.73,41.4,North Central,38.1,34.3,42.0,270.0,0.548330404218
160,North Carolina,Granville Early College High,1552 SOUTH CAMPUS DR,CREEDMOOR,27522,1,0,0,1,4,36.141700,-78.721306,9th Grade,13th Grade,1,1,1,1,218,200,31.14,88.9,North Central,88.4,69.5,21.0,64.0,0.389908256881
162,North Carolina,Gray Stone Day,49464 MERNER TERRACE,MISENHEIMER,28109,1,0,1,0,6,35.483510,-80.276340,9th Grade,12th Grade,1,1,1,1,411,411,14.17,92.5,Southwest,91.0,95.0,6.0,8.0,0.0340632603406
163,North Carolina,Green Hope High,2500 CARPENTER UPCHURCH ROAD,CARY,27519,1,0,0,0,6,35.804992,-78.867007,9th Grade,12th Grade,1,1,1,1,2380,2380,19.75,84.3,North Central,90.3,88.0,44.0,123.0,0.0701680672269
164,North Carolina,Greene Central High,140 SCHOOL DRIVE,SNOW HILL,28580,1,0,0,1,4,35.479919,-77.670315,9th Grade,12th Grade,1,1,1,1,900,900,14.89,26.1,Southeast,32.8,31.2,49.0,539.0,0.653333333333
165,North Carolina,Greene Early College High,818 HIGHWAY 91,SNOW HILL,28580,1,0,0,1,4,35.475863,-77.670521,9th Grade,13th Grade,1,1,1,1,157,135,20.93,79.4,Southeast,82.4,69.4,13.0,94.0,0.68152866242
166,North Carolina,Grimsley High,801 WESTOVER TERRACE,GREENSBORO,27408,1,0,0,1,1,36.084338,-79.815997,9th Grade,12th Grade,1,1,1,1,1719,1719,18.84,67.6,Piedmont-Triad,77.0,59.4,70.0,600.0,0.389761489238
167,North Carolina,GTCC Middle College High,601 EAST MAIN STREET,JAMESTOWN,27282,1,0,0,1,4,35.998253,-79.918162,9th Grade,13th Grade,1,1,1,1,187,175,12.90,65.0,Piedmont-Triad,67.4,75.5,12.0,64.0,0.406417112299
168,North Carolina,Haliwa-Saponi Tribal School,130 HALIWA-SAPONI TRAIL,HOLLISTER,27844,1,0,1,1,5,36.251895,-77.981367,Kindergarten,12th Grade,1,1,1,1,192,61,11.67,22.2,North Central,83.3,42.9,0.0,0.0,0.0
169,North Carolina,Harding University High,2001 ALLEGHANY ST,CHARLOTTE,28208,1,1,0,1,5,35.236952,-80.902359,9th Grade,12th Grade,1,1,1,1,1747,1747,17.98,21.2,Southwest,37.7,18.6,0.0,1738.0,0.994848311391
170,North Carolina,Harnett Central High,2911 HARNETT CENTRAL RD,ANGIER,27501,1,0,0,1,4,35.463493,-78.779910,9th Grade,12th Grade,1,1,1,1,1541,1541,17.45,56.2,North Central,55.5,46.5,122.0,645.0,0.497728747567
171,North Carolina,Havelock High,101 WEBB BOULEVARD,HAVELOCK,28532,1,0,0,1,4,34.880481,-76.893569,9th Grade,12th Grade,1,1,1,1,1119,1119,15.87,43.3,Southeast,57.4,58.4,110.0,350.0,0.411081322609
172,North Carolina,Hawthorne High,2300 W SUGAR CREEK RD,CHARLOTTE,28262,1,0,0,1,5,35.295070,-80.795681,6th Grade,12th Grade,1,1,1,1,135,133,7.06,65.6,Southwest,51.5,52.6,0.0,127.0,0.940740740741
173,North Carolina,Hayesville High,205 YELLOW JACKET DRIVE,HAYESVILLE,28904,1,0,0,1,4,35.040513,-83.813602,9th Grade,12th Grade,1,1,1,1,383,383,12.30,57.5,Western,64.0,46.4,29.0,145.0,0.454308093995
174,North Carolina,Haywood Early College,185 FREEDLANDER DRIVE,CLYDE,28721,1,0,0,1,4,35.526397,-82.927756,9th Grade,13th Grade,1,1,1,1,156,142,26.00,67.6,Western,88.6,87.8,15.0,65.0,0.512820512821
175,North Carolina,Heide Trask High,14328 NC HWY 210,ROCKY POINT,28457,1,0,0,1,4,34.437792,-77.892530,9th Grade,12th Grade,1,1,1,1,685,685,14.42,38.8,Southeast,43.4,53.1,61.0,369.0,0.627737226277
176,North Carolina,Henderson County Early College,120 ALUMNI WAY,FLAT ROCK,28731,1,0,0,1,4,35.307269,-82.422577,9th Grade,13th Grade,1,1,1,1,202,165,33.67,93.8,Western,95.0,95.0,27.0,82.0,0.539603960396
177,North Carolina,Hendersonville High,1 BEARCAT BOULEVARD,HENDERSONVILLE,28791,1,0,0,1,1,35.321409,-82.464217,9th Grade,12th Grade,1,1,1,1,770,770,16.77,80.7,Western,79.3,63.5,39.0,247.0,0.371428571429
178,North Carolina,Heritage High,1150 FORESTVILLE ROAD,WAKE FOREST,27587,1,0,0,0,6,35.940140,-78.511001,9th Grade,12th Grade,1,1,1,1,1910,1910,17.77,60.2,North Central,69.5,68.3,57.0,202.0,0.135602094241
179,North Carolina,Hertford Co Early College,109 COMMUNITY COLLEGE RD,AHOSKIE,27910,1,0,0,1,5,36.323840,-77.019391,9th Grade,13th Grade,1,1,1,1,127,111,18.14,70.0,Northeast,67.5,62.5,0.0,124.0,0.976377952756
180,North Carolina,Hertford County High,1500 W FIRST ST,AHOSKIE,27910,1,0,0,1,5,36.296584,-76.998176,9th Grade,12th Grade,1,1,1,1,703,703,15.56,39.4,Northeast,32.3,13.4,0.0,700.0,0.99573257468
181,North Carolina,Hibriten High,1350 PANTHER TRAIL SE,LENOIR,28645,1,0,0,1,4,35.925510,-81.493751,9th Grade,12th Grade,1,1,1,1,824,823,13.19,43.8,Northwest,58.0,43.7,61.0,369.0,0.521844660194
182,North Carolina,Hickory High,1234 3RD STREET NE,HICKORY,28601,1,0,0,1,4,35.749647,-81.331794,9th Grade,12th Grade,1,1,1,1,1018,1018,15.39,48.1,Northwest,62.9,45.5,50.0,430.0,0.471512770138
183,North Carolina,Hickory Ridge High,7321 RAGING RIDGE ROAD,HARRISBURG,28075,1,0,0,0,6,35.307787,-80.634948,9th Grade,12th Grade,1,1,1,1,1573,1573,20.37,76.3,Southwest,79.1,69.5,56.0,254.0,0.197075651621
184,North Carolina,High Point Central High,801 FERNDALE BOULEVARD,HIGH POINT,27262,1,1,0,1,4,35.957950,-80.023120,9th Grade,12th Grade,1,1,1,1,1454,1454,16.90,24.4,Piedmont-Triad,44.9,53.0,54.0,826.0,0.60522696011
185,North Carolina,Highland Sch of Technology,1600 N MORRIS STREET,GASTONIA,28052,1,1,0,0,6,35.280405,-81.190733,9th Grade,12th Grade,1,1,1,1,555,555,13.79,87.8,Southwest,93.6,95.0,36.0,131.0,0.300900900901
187,North Carolina,Hillside High,3727 FAYETTEVILLE ST,DURHAM,27707,1,0,0,1,4,35.953277,-78.903598,9th Grade,12th Grade,1,1,1,1,1318,1318,14.40,33.1,North Central,44.0,41.8,86.0,729.0,0.618361153263
188,North Carolina,Hillside New Tech High,3727 FAYETTEVILLE ST,DURHAM,27707,1,0,0,1,4,35.953277,-78.903598,9th Grade,12th Grade,1,1,1,1,273,273,15.17,41.3,North Central,56.8,35.4,28.0,124.0,0.556776556777
189,North Carolina,Hiwassee Dam High,267 BLUE EAGLE CIRCLE,MURPHY,28906,1,0,0,1,4,35.103859,-84.223650,9th Grade,12th Grade,1,1,1,1,203,203,12.76,36.5,Western,63.0,34.4,29.0,86.0,0.566502463054
190,North Carolina,Hobbton High,12201 HOBBTON HWY,NEWTON GROVE,28366,1,0,0,1,4,35.177810,-78.328370,9th Grade,12th Grade,1,1,1,1,557,557,15.80,55.0,Sandhills,54.4,51.5,57.0,311.0,0.660682226212
191,North Carolina,Hoke County High,505 S BETHEL ROAD,RAEFORD,28376,1,0,0,1,4,34.972957,-79.234343,9th Grade,12th Grade,1,1,1,1,1972,1972,15.73,43.4,Sandhills,44.6,49.1,125.0,1035.0,0.588235294118
192,North Carolina,Holly Springs High,5329 CASS HOLT ROAD,HOLLY SPRINGS,27540,1,0,0,0,6,35.628900,-78.848821,9th Grade,12th Grade,1,1,1,1,2418,2418,19.67,75.2,North Central,78.0,73.4,85.0,316.0,0.165839536807
193,North Carolina,Hopewell High,11530 BEATTIES FORD RD,HUNTERSVILLE,28078,1,0,0,1,4,35.378392,-80.911004,9th Grade,12th Grade,1,1,1,1,1653,1653,18.85,46.4,Southwest,57.2,41.0,117.0,634.0,0.454325468845
195,North Carolina,Hugh M Cummings High,2200 N MEBANE STREET,BURLINGTON,27217,1,0,0,1,4,36.088669,-79.396442,9th Grade,12th Grade,1,1,1,1,932,932,17.73,44.7,Piedmont-Triad,42.4,35.8,60.0,705.0,0.820815450644
196,North Carolina,Hunter Huss High,1518 EDGEFIELD AVENUE,GASTONIA,28052,1,0,0,1,4,35.240637,-81.206875,9th Grade,12th Grade,1,1,1,1,1148,1148,17.03,23.4,Southwest,39.4,24.9,102.0,778.0,0.766550522648
197,North Carolina,Independence High,1967 PATRIOT DR,CHARLOTTE,28227,1,0,0,1,4,35.197168,-80.687432,9th Grade,12th Grade,1,1,1,1,2349,2349,18.24,66.0,Southwest,63.4,68.3,14.0,188.0,0.085994040017
198,North Carolina,Invest Collegiate - Imagine,1000 BREVARD ROAD STE. 175,ASHEVILLE,28806,1,0,1,0,6,35.525000,-82.606561,Kindergarten,10th Grade,0,0,1,1,342,22,15.57,45.5,Western,78.6,50.0,22.0,25.0,0.137426900585
200,North Carolina,J D Clement Early College HS,1801 FAYETTEVILLE STREET,DURHAM,27707,1,0,0,1,4,35.974670,-78.898051,9th Grade,12th Grade,1,1,1,1,352,352,24.28,85.6,North Central,88.2,89.0,35.0,166.0,0.571022727273
201,North Carolina,J F Kennedy High,890 E 11TH STREET,WINSTON SALEM,27101,4,1,0,1,5,36.106750,-80.234701,6th Grade,12th Grade,1,1,1,1,344,217,7.55,52.5,Piedmont-Triad,28.8,35.2,26.0,272.0,0.866279069767
202,North Carolina,J. F. Webb High,3200 WEBB SCHOOL RD,OXFORD,27565,1,0,0,1,4,36.343600,-78.604437,9th Grade,12th Grade,1,1,1,1,615,615,15.14,20.3,North Central,38.7,29.5,42.0,341.0,0.622764227642
203,North Carolina,Jack Britt High,7403 ROCKFISH ROAD,FAYETTEVILLE,28306,1,0,0,0,6,34.977498,-79.011098,9th Grade,12th Grade,1,1,1,1,1941,1941,17.56,84.1,Sandhills,83.4,76.4,139.0,414.0,0.284904688305
204,North Carolina,Jackson Co Early College,404 COLLEGE DRIVE,SYLVA,28779,1,0,0,1,4,35.347264,-83.204440,9th Grade,13th Grade,1,1,1,1,145,132,35.37,72.0,Western,95.0,81.3,20.0,41.0,0.420689655172
205,North Carolina,Jacksonville High,1021 HENDERSON DR,JACKSONVILLE,28540,1,0,0,1,1,34.783917,-77.427045,9th Grade,12th Grade,1,1,1,1,1218,1218,17.53,55.6,Southeast,59.6,48.9,61.0,393.0,0.372742200328
206,North Carolina,James B Dudley High,1200 LINCOLN STREET,GREENSBORO,27401,1,0,0,1,5,36.060828,-79.763503,9th Grade,12th Grade,1,1,1,1,1418,1418,15.52,29.5,Piedmont-Triad,40.8,28.6,0.0,1396.0,0.984485190409
207,North Carolina,James Hunt High,4559 LAMM RD,WILSON,27893,1,0,0,0,6,35.722528,-77.998967,9th Grade,12th Grade,1,1,1,1,1375,1375,17.73,35.7,North Central,53.7,41.1,85.0,541.0,0.455272727273
208,North Carolina,James Kenan High,1241 NC 24 & 50,WARSAW,28398,1,0,0,1,4,34.984522,-78.043144,9th Grade,12th Grade,1,1,1,1,728,728,17.40,25.7,Southeast,34.3,29.7,45.0,461.0,0.695054945055
209,North Carolina,Jay M Robinson High,300 PITTS SCHOOL ROAD SW,CONCORD,28027,1,0,0,1,4,35.362979,-80.661366,9th Grade,12th Grade,1,1,1,1,1339,1339,15.54,55.4,Southwest,53.8,50.3,73.0,505.0,0.431665421957
210,North Carolina,JF Webb HS Of Health And Life Sciences,3200 WEBB SCHOOL RD,OXFORD,27565,1,0,0,0,6,36.337910,-78.597163,9th Grade,12th Grade,1,1,1,1,304,304,27.64,64.6,North Central,76.2,49.4,11.0,66.0,0.253289473684
211,North Carolina,Jimmy C Draughn High School,709 LOVELADY ROAD NE,VALDESE,28690,1,0,0,1,4,35.767070,-81.544041,9th Grade,12th Grade,1,1,1,1,722,722,16.77,68.0,Northwest,63.3,64.0,97.0,218.0,0.436288088643
212,North Carolina,John A Holmes High,600 WOODARD STREET,EDENTON,27932,1,0,0,1,4,36.066548,-76.604733,9th Grade,12th Grade,1,1,1,1,659,659,14.50,42.7,Northeast,45.7,32.2,47.0,340.0,0.587253414264
213,North Carolina,John M Morehead High,134 N PIERCE ST,EDEN,27288,1,0,0,1,4,36.504629,-79.735354,9th Grade,12th Grade,1,1,1,1,940,940,18.02,36.4,Piedmont-Triad,37.5,32.8,0.0,937.0,0.996808510638
214,North Carolina,John T Hoggard High,4305 SHIPYARD BLVD,WILMINGTON,28403,1,0,0,0,6,34.199614,-77.892867,9th Grade,12th Grade,1,1,1,1,1786,1785,18.90,62.6,Southeast,76.8,68.8,85.0,422.0,0.283874580067
215,North Carolina,Johnston Co Early College Academy,235 COLLEGE RD,SMITHFIELD,27520,1,0,0,0,6,35.504134,-78.330645,9th Grade,13th Grade,1,1,1,1,244,202,26.38,92.6,North Central,91.1,89.3,7.0,104.0,0.454918032787
216,North Carolina,Jones Senior High,1490 HWY 58 SOUTH,TRENTON,28585,1,0,0,1,4,35.054220,-77.482360,9th Grade,12th Grade,1,1,1,1,333,332,12.11,53.3,Southeast,57.5,47.6,0.0,325.0,0.975975975976
217,North Carolina,Jordan Matthews High,910 EAST CARDINAL STREET,SILER CITY,27344,1,0,0,1,4,35.723900,-79.452430,9th Grade,12th Grade,1,1,1,1,765,765,13.78,47.6,North Central,51.4,40.5,50.0,473.0,0.683660130719
218,North Carolina,Junius H Rose High,600 W ARLINGTON BLVD,GREENVILLE,27834,1,0,0,1,4,35.593934,-77.384236,9th Grade,12th Grade,1,1,1,1,1440,1440,15.96,45.9,Northeast,48.3,46.3,51.0,686.0,0.511805555556
220,North Carolina,Kestrel Heights School,4700 S ALSTON AVE,DURHAM,27713,1,0,1,0,6,35.898310,-78.890451,Kindergarten,12th Grade,1,1,1,1,1015,312,15.53,52.4,North Central,64.5,44.8,10.0,56.0,0.0650246305419
221,North Carolina,Kings Mountain High,500 PHIFER ROAD,KINGS MOUNTAIN,28086,1,0,0,1,4,35.234417,-81.369876,9th Grade,12th Grade,1,1,1,1,1272,1272,14.65,68.2,Southwest,66.8,59.8,80.0,534.0,0.482704402516
222,North Carolina,Kinston High,2601 N QUEEN ST,KINSTON,28501,1,0,0,1,4,35.295853,-77.575265,9th Grade,12th Grade,1,1,1,1,854,854,15.53,17.8,Southeast,29.9,15.5,0.0,842.0,0.985948477752
223,North Carolina,Knightdale High,100 BRYAN CHALK LANE,KNIGHTDALE,27545,1,0,0,1,4,35.810850,-78.476188,9th Grade,12th Grade,1,1,1,1,1672,1672,16.73,31.5,North Central,45.4,34.8,181.0,754.0,0.559210526316
224,North Carolina,Lake Lure Classical Academy,2520 MEMORIAL HIGHWAY,LAKE LURE,28746,1,0,1,1,4,35.430690,-82.222451,Kindergarten,11th Grade,0,1,1,1,372,101,12.40,64.1,Western,79.4,38.9,29.0,34.0,0.16935483871
225,North Carolina,Lake Norman Charter,12435 OLD STATESVILLE ROAD,HUNTERSVILLE,28078,1,0,1,0,6,35.388475,-80.834755,5th Grade,12th Grade,1,1,1,1,1600,802,17.51,89.5,Southwest,93.4,85.9,23.0,27.0,0.03125
226,North Carolina,Lake Norman High,186 DOOLIE ROAD,MOORESVILLE,28117,1,0,0,0,6,35.598270,-80.903811,9th Grade,12th Grade,1,1,1,1,1865,1865,21.07,66.7,Southwest,75.1,72.2,43.0,140.0,0.0981233243968
227,North Carolina,Lakewood High,245 LAKEWOOD SCHOOL RD,SALEMBURG,28385,1,0,0,1,4,34.990911,-78.501924,9th Grade,12th Grade,1,1,1,1,516,516,13.79,43.7,Sandhills,35.9,48.2,463.0,1291.0,3.3992248062
228,North Carolina,Ledford Senior High,140 JESSE GREEN ROAD,THOMASVILLE,27360,1,0,0,0,6,35.962253,-80.134033,9th Grade,12th Grade,1,1,1,1,1255,1255,18.83,69.7,Piedmont-Triad,69.9,65.8,65.0,339.0,0.321912350598
229,North Carolina,Lee County High,1708 NASH STREET,SANFORD,27330,1,0,0,1,4,35.467494,-79.148203,9th Grade,12th Grade,1,1,1,1,1493,1493,15.92,25.9,North Central,42.5,39.8,81.0,689.0,0.515740120563
230,North Carolina,Lee Early College,1105 KELLY DRIVE,SANFORD,27330,1,0,0,1,4,35.471218,-79.143900,9th Grade,13th Grade,1,1,1,1,288,253,24.00,44.1,North Central,58.6,76.9,18.0,130.0,0.513888888889
