School Name,State Name [Public School] Latest available year,School Name [Public School] 2014-15,Location Address 1 [Public School] 2014-15,Location Address 2 [Public School] 2014-15,Location Address 3 [Public School] 2014-15,Location City [Public School] 2014-15,Location ZIP [Public School] 2014-15,Location ZIP4 [Public School] 2014-15,School Type [Public School] 2014-15,Magnet School [Public School] 2014-15,Charter School [Public School] 2014-15,Title I Eligible School [Public School] 2014-15,Title I School Status [Public School] 2014-15,Latitude [Public School] 2014-15,Longitude [Public School] 2014-15,Lowest Grade Offered [Public School] 2014-15,Highest Grade Offered [Public School] 2014-15,Grade 12 offered [Public School] 2014-15,Grade 11 offered [Public School] 2014-15,Grade 10 offered [Public School] 2014-15,Grade 9 offered [Public School] 2014-15,Total Students All Grades (Excludes AE) [Public School] 2014-15,Grades 9-12 Students [Public School] 2014-15
HICKORY HIGH,North Carolina,True,1234 3RD STREET NE,†,†,HICKORY,28601,2605,1-Regular school,2-No,2-No,1-Yes,4-Eligible for Title I SWP provides no program,35.749647,-81.331794,9th Grade,12th Grade,1-Yes,1-Yes,1-Yes,1-Yes,1018,1018
HIDDENITE ELEMENTARY,North Carolina,True,374 SULPHUR SPRINGS ROAD,†,†,HIDDENITE,28636,9764,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.907123,-81.089424,Prekindergarten,5th Grade,2-No,2-No,2-No,2-No,522,†
HILDEBRAN ELEMENTARY,North Carolina,True,703 US HWY 70 WEST,†,†,HILDEBRAN,28637,†,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.715350,-81.426620,Prekindergarten,5th Grade,2-No,2-No,2-No,2-No,342,†
HORIZONS ELEMENTARY,North Carolina,True,143 CEDAR VALLEY ROAD,†,†,HUDSON,28638,2597,4-Alternative/other school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.845037,-81.489843,Kindergarten,5th Grade,2-No,2-No,2-No,2-No,35,†
HUDSON ELEMENTARY,North Carolina,True,200 ROY COFFEY DRIVE,†,†,HUDSON,28638,†,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.845401,-81.492989,Prekindergarten,5th Grade,2-No,2-No,2-No,2-No,716,†
HUDSON MIDDLE,North Carolina,True,291 PINE MOUNTAIN ROAD,†,†,HUDSON,28638,2698,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.848003,-81.478815,6th Grade,8th Grade,2-No,2-No,2-No,2-No,702,†
ICARD ELEMENTARY,North Carolina,True,3087 ICARD SCHOOL ROAD,†,†,CONNELLY SPRINGS,28612,†,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.729531,-81.468373,Prekindergarten,5th Grade,2-No,2-No,2-No,2-No,261,†
JACOBS FORK MIDDLE,North Carolina,True,3431 PLATEAU ROAD,†,†,NEWTON,28658,†,1-Regular school,2-No,2-No,1-Yes,4-Eligible for Title I SWP provides no program,35.613885,-81.371055,7th Grade,8th Grade,2-No,2-No,2-No,2-No,505,†
JIMMY C DRAUGHN HIGH SCHOOL,North Carolina,True,709 LOVELADY ROAD NE,†,†,VALDESE,28690,†,1-Regular school,2-No,2-No,1-Yes,4-Eligible for Title I SWP provides no program,35.767070,-81.544041,9th Grade,12th Grade,1-Yes,1-Yes,1-Yes,1-Yes,722,722
KINGS CREEK ELEMENTARY,North Carolina,True,3680 WILKESBORO BOULEVARD,†,†,LENOIR,28645,9153,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.992250,-81.400882,Prekindergarten,8th Grade,2-No,2-No,2-No,2-No,218,†
LIBERTY MIDDLE,North Carolina,True,529 ENOLA ROAD,†,†,MORGANTON,28655,†,1-Regular school,2-No,2-No,1-Yes,4-Eligible for Title I SWP provides no program,35.707719,-81.670476,6th Grade,8th Grade,2-No,2-No,2-No,2-No,562,†
LONGVIEW ELEMENTARY,North Carolina,True,737 12TH STREET SW,†,†,HICKORY,28602,2047,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.723430,-81.359371,Prekindergarten,5th Grade,2-No,2-No,2-No,2-No,436,†
LOWER CREEK ELEMENTARY,North Carolina,True,630 LOWER CREEK DRIVE NE,†,†,LENOIR,28645,4524,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.922558,-81.511868,Kindergarten,5th Grade,2-No,2-No,2-No,2-No,373,†
LYLE CREEK ELEMENTARY,North Carolina,True,1845 EDGEWATER DRIVE NW,†,†,CONOVER,28613,†,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.748687,-81.199732,Kindergarten,6th Grade,2-No,2-No,2-No,2-No,533,†
MABEL ELEMENTARY,North Carolina,True,404 MABEL SCHOOL ROAD,†,†,ZIONVILLE,28698,9708,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,36.322534,-81.746471,Kindergarten,8th Grade,2-No,2-No,2-No,2-No,178,†
MAIDEN ELEMENTARY,North Carolina,True,201 N MAIN AVENUE,†,†,MAIDEN,28650,1117,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.577890,-81.212390,Kindergarten,6th Grade,2-No,2-No,2-No,2-No,518,†
MAIDEN HIGH,North Carolina,True,600 WEST MAIN STREET,†,†,MAIDEN,28650,†,1-Regular school,2-No,2-No,1-Yes,4-Eligible for Title I SWP provides no program,35.580720,-81.226541,9th Grade,12th Grade,1-Yes,1-Yes,1-Yes,1-Yes,877,877
MAIDEN MIDDLE SCHOOL,North Carolina,True,518 NORTH C AVENUE,†,†,MAIDEN,28650,†,1-Regular school,2-No,2-No,1-Yes,4-Eligible for Title I SWP provides no program,35.581143,-81.217553,7th Grade,8th Grade,2-No,2-No,2-No,2-No,489,†
MARION ELEMENTARY,North Carolina,True,209 ROBERT STREET,†,†,MARION,28752,†,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.690942,-82.006517,Prekindergarten,5th Grade,2-No,2-No,2-No,2-No,373,†
MARION ELEMENTARY,North Carolina,True,410 FOREST HILL DRIVE,†,†,SHELBY,28150,5561,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.288936,-81.524909,Prekindergarten,4th Grade,2-No,2-No,2-No,2-No,328,†
MAYLAND EARLY COLLEGE,North Carolina,True,264 MAYLAND DR,†,†,SPRUCE PINE,28777,†,1-Regular school,2-No,2-No,1-Yes,4-Eligible for Title I SWP provides no program,35.932982,-82.016320,9th Grade,13th Grade,1-Yes,1-Yes,1-Yes,1-Yes,102,92
MCDOWELL EARLY COLLEGE,North Carolina,True,54 COLLEGE DRIVE,†,†,MARION,28752,†,1-Regular school,2-No,2-No,1-Yes,1-Eligible for Title I TAS provides no program,35.656553,-81.960773,9th Grade,13th Grade,1-Yes,1-Yes,1-Yes,1-Yes,212,186
MCDOWELL HIGH,North Carolina,True,600 MCDOWELL HIGH SCHOOL DR,†,†,MARION,28752,†,1-Regular school,2-No,2-No,1-Yes,4-Eligible for Title I SWP provides no program,35.695914,-82.034970,9th Grade,12th Grade,1-Yes,1-Yes,1-Yes,1-Yes,1680,1680
MICAVILLE ELEMENTARY,North Carolina,True,112 STATE HWY 80 SOUTH,†,†,BURNSVILLE,28714,"=""0122""",1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.908800,-82.207754,Kindergarten,5th Grade,2-No,2-No,2-No,2-No,165,†
MILL CREEK MIDDLE,North Carolina,True,1041 SHILOH ROAD,†,†,CLAREMONT,28610,†,1-Regular school,2-No,2-No,1-Yes,1-Eligible for Title I TAS provides no program,35.650850,-81.089821,7th Grade,8th Grade,2-No,2-No,2-No,2-No,497,†
MILLERS CREEK ELEMENTARY,North Carolina,True,4320 NORTH NC HWY 16,†,†,MILLERS CREEK,28651,†,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,36.206990,-81.244025,Prekindergarten,5th Grade,2-No,2-No,2-No,2-No,852,†
MITCHELL HIGH,North Carolina,True,416 LEDGER SCHOOL RD,†,†,BAKERSVILLE,28705,†,1-Regular school,2-No,2-No,1-Yes,4-Eligible for Title I SWP provides no program,35.972360,-82.118481,9th Grade,12th Grade,1-Yes,1-Yes,1-Yes,1-Yes,551,551
MORAVIAN FALLS ELEMENTARY,North Carolina,True,2001 MORAVIAN FALLS RD,†,†,MORAVIAN FALLS,28654,†,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,36.097457,-81.181981,Prekindergarten,5th Grade,2-No,2-No,2-No,2-No,239,†
MOUNT PLEASANT ELEMENTARY,North Carolina,True,532 CHAMPION MT PLEASANT RD,†,†,FERGUSON,28624,†,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,36.119740,-81.358490,Prekindergarten,5th Grade,2-No,2-No,2-No,2-No,255,†
MOUNT PLEASANT ELEMENTARY,North Carolina,True,8555 NORTH DRIVE,†,†,MOUNT PLEASANT,28124,7809,1-Regular school,2-No,2-No,1-Yes,1-Eligible for Title I TAS provides no program,35.417357,-80.431602,Kindergarten,6th Grade,2-No,2-No,2-No,2-No,628,†
MOUNTAIN CREST ELEMENTARY,North Carolina,True,201 TENNESSEE STREET,†,†,MORGANTON,28655,†,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.754055,-81.674600,Prekindergarten,5th Grade,2-No,2-No,2-No,2-No,537,†
MOUNTAIN HERITAGE HIGH,North Carolina,True,333 MTN HERITAGE HS ROAD,†,†,BURNSVILLE,28714,"=""0070""",1-Regular school,2-No,2-No,1-Yes,4-Eligible for Title I SWP provides no program,35.907987,-82.333572,9th Grade,12th Grade,1-Yes,1-Yes,1-Yes,1-Yes,671,671
MOUNTAIN VIEW ELEMENTARY,North Carolina,True,2789 HWY 221 N,†,†,JEFFERSON,28640,†,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,36.435165,-81.439825,Prekindergarten,6th Grade,2-No,2-No,2-No,2-No,667,†
MOUNTAIN VIEW ELEMENTARY,North Carolina,True,5464 MOUNTAIN VIEW RD,†,†,HAYS,28635,9801,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,36.248548,-81.116079,Prekindergarten,5th Grade,2-No,2-No,2-No,2-No,581,†
MOUNTAIN VIEW ELEMENTARY,North Carolina,True,5911 DWAYNE STARNES ROAD,†,†,HICKORY,28602,9265,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.663600,-81.384850,Prekindergarten,6th Grade,2-No,2-No,2-No,2-No,785,†
MULBERRY ELEMENTARY,North Carolina,True,190 MULBERRY SCHOOL RD,†,†,NORTH WILKESBORO,28659,9731,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,36.238260,-81.180210,Prekindergarten,5th Grade,2-No,2-No,2-No,2-No,481,†
MULL ELEMENTARY,North Carolina,True,1140 OLD NC 18 SOUTH,†,†,MORGANTON,28655,†,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.704807,-81.659601,Prekindergarten,5th Grade,2-No,2-No,2-No,2-No,300,†
NEBO ELEMENTARY,North Carolina,True,254 NEBO SCHOOL ROAD,†,†,NEBO,28761,†,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.714991,-81.929176,Prekindergarten,5th Grade,2-No,2-No,2-No,2-No,402,†
NEW DIMENSIONS,North Carolina,True,550 LENOIR ROAD,†,†,MORGANTON,28655,†,1-Regular school,2-No,1-Yes,1-Yes,2-Eligible for Title I TAS provides TAS program,35.771430,-81.686861,Kindergarten,8th Grade,2-No,2-No,2-No,2-No,261,†
NEWLAND ELEMENTARY,North Carolina,True,750 LINVILLE STREET,†,†,NEWLAND,28657,"=""0158""",1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,36.084744,-81.924405,Prekindergarten,5th Grade,2-No,2-No,2-No,2-No,270,†
NEWTON-CONOVER HIGH,North Carolina,True,338 W 15TH STREET,†,†,NEWTON,28658,2906,1-Regular school,2-No,2-No,1-Yes,4-Eligible for Title I SWP provides no program,35.678480,-81.225066,9th Grade,12th Grade,1-Yes,1-Yes,1-Yes,1-Yes,811,811
NEWTON-CONOVER MIDDLE,North Carolina,True,873 NORTHERN DR NW,†,†,CONOVER,28613,6513,1-Regular school,2-No,2-No,1-Yes,4-Eligible for Title I SWP provides no program,35.730870,-81.225741,6th Grade,8th Grade,2-No,2-No,2-No,2-No,681,†
NORTH COVE ELEMENTARY,North Carolina,True,401 AMERICAN THREAD ROAD,†,†,MARION,28752,†,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.789506,-82.034183,Prekindergarten,5th Grade,2-No,2-No,2-No,2-No,246,†
NORTH LIBERTY,North Carolina,True,523 ENOLA ROAD,†,†,MORGANTON,28655,†,2-Special education school,2-No,2-No,1-Yes,4-Eligible for Title I SWP provides no program,35.708342,-81.670674,Prekindergarten,12th Grade,1-Yes,1-Yes,1-Yes,1-Yes,97,39
NORTH NEWTON ELEMENTARY,North Carolina,True,221 WEST 26TH ST,†,†,NEWTON,28658,2927,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.688810,-81.221791,Kindergarten,5th Grade,2-No,2-No,2-No,2-No,489,†
NORTH WILKES HIGH,North Carolina,True,2986 TRAPHILL RD,†,†,HAYS,28635,†,1-Regular school,2-No,2-No,1-Yes,1-Eligible for Title I TAS provides no program,36.282614,-81.098724,9th Grade,12th Grade,1-Yes,1-Yes,1-Yes,1-Yes,736,736
NORTH WILKES MIDDLE,North Carolina,True,2776 YELLOW BANKS ROAD,†,†,NORTH WILKESBORO,28659,†,1-Regular school,2-No,2-No,1-Yes,4-Eligible for Title I SWP provides no program,36.261490,-81.150584,6th Grade,8th Grade,2-No,2-No,2-No,2-No,570,†
NORTH WILKESBORO ELEMENTARY,North Carolina,True,200 FLINT HILL RD,†,†,NORTH WILKESBORO,28659,3499,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,36.177714,-81.138335,Prekindergarten,5th Grade,2-No,2-No,2-No,2-No,307,†
NORTHVIEW MIDDLE,North Carolina,True,302 28TH AVENUE NE,†,†,HICKORY,28601,†,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.767329,-81.324555,6th Grade,8th Grade,2-No,2-No,2-No,2-No,590,†
OAK HILL ELEMENTARY,North Carolina,True,4603 OAK HILL SCHOOL ROAD,†,†,LENOIR,28645,9207,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.901999,-81.417191,Kindergarten,8th Grade,2-No,2-No,2-No,2-No,123,†
OAK HILL ELEMENTARY,North Carolina,True,320 WRIGHTENBERRY STREET,†,†,HIGH POINT,27260,1584,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.935791,-80.025961,Prekindergarten,5th Grade,2-No,2-No,2-No,2-No,497,†
OAK HILL ELEMENTARY,North Carolina,True,2363 NC 181,†,†,MORGANTON,28655,†,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.776352,-81.756582,Prekindergarten,5th Grade,2-No,2-No,2-No,2-No,443,†
OAKWOOD ELEMENTARY,North Carolina,True,274 OAKWOOD DRIVE,†,†,YANCEYVILLE,27379,"=""0640""",1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,36.416007,-79.332050,Prekindergarten,5th Grade,2-No,2-No,2-No,2-No,378,†
OAKWOOD ELEMENTARY,North Carolina,True,366 4TH STREET NW,†,†,HICKORY,28601,4920,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.737301,-81.343579,Prekindergarten,5th Grade,2-No,2-No,2-No,2-No,403,†
OLD FORT ELEMENTARY,North Carolina,True,128 MAUNEY AVENUE,†,†,OLD FORT,28762,†,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.621289,-82.181282,Prekindergarten,5th Grade,2-No,2-No,2-No,2-No,361,†
OXFORD ELEMENTARY,North Carolina,True,5915 OXFORD SCHOOL ROAD,†,†,CLAREMONT,28610,9620,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.773166,-81.155929,Prekindergarten,6th Grade,2-No,2-No,2-No,2-No,633,†
PARKWAY ELEMENTARY,North Carolina,True,160 PARKWAY SCHOOL DR,†,†,BOONE,28607,9750,1-Regular school,2-No,2-No,1-Yes,1-Eligible for Title I TAS provides no program,36.232230,-81.561180,Prekindergarten,8th Grade,2-No,2-No,2-No,2-No,508,†
PINEY CREEK ELEMENTARY,North Carolina,True,559 PINEY CREEK SCH ROAD,†,†,PINEY CREEK,28663,†,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,36.548260,-81.300720,Prekindergarten,8th Grade,2-No,2-No,2-No,2-No,171,†
PLEASANT GARDENS ELEMENTARY,North Carolina,True,100 JOHN ROACH DRIVE,†,†,MARION,28752,†,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.691705,-82.069186,Prekindergarten,5th Grade,2-No,2-No,2-No,2-No,382,†
RAY CHILDERS ELEMENTARY,North Carolina,True,1183 CAPE HICKORY ROAD,†,†,HICKORY,28601,†,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.751570,-81.427380,Prekindergarten,5th Grade,2-No,2-No,2-No,2-No,426,†
RIVER BEND MIDDLE,North Carolina,True,4670 OXFORD SCHOOL ROAD,†,†,CLAREMONT,28610,†,1-Regular school,2-No,2-No,1-Yes,4-Eligible for Title I SWP provides no program,35.752500,-81.118000,7th Grade,8th Grade,2-No,2-No,2-No,2-No,510,†
RIVERSIDE ELEMENTARY,North Carolina,True,8020 US 19E HWY SOUTH,†,†,NEWLAND,28657,9452,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,36.098245,-81.987081,Prekindergarten,5th Grade,2-No,2-No,2-No,2-No,147,†
ROARING RIVER ELEMENTARY,North Carolina,True,283 WHITE PLAINS RD,†,†,ROARING RIVER,28669,9602,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,36.207790,-81.003200,Prekindergarten,5th Grade,2-No,2-No,2-No,2-No,260,†
ROBERT L. PATTON HIGH SCHOOL,North Carolina,True,701 ENOLA ROAD,†,†,MORGANTON,28655,†,1-Regular school,2-No,2-No,1-Yes,4-Eligible for Title I SWP provides no program,35.702947,-81.669989,9th Grade,12th Grade,1-Yes,1-Yes,1-Yes,1-Yes,1017,1017
RONDA-CLINGMAN ELEMENTARY,North Carolina,True,316 RONDA-CLINGMAN SCHOOL RD,†,†,RONDA,28670,9796,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,36.205200,-80.934830,Prekindergarten,5th Grade,2-No,2-No,2-No,2-No,316,†
RUTHERFORD COLLEGE ELEM,North Carolina,True,170 HONEYCUTT DRIVE,†,†,RUTHERFORD COLLEGE,28671,"=""0247""",1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.753630,-81.523370,Prekindergarten,5th Grade,2-No,2-No,2-No,2-No,227,†
SAINT STEPHENS ELEMENTARY,North Carolina,True,684 30TH STREET NE,†,†,CONOVER,28613,†,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.732915,-81.273391,Kindergarten,6th Grade,2-No,2-No,2-No,2-No,756,†
SAINT STEPHENS HIGH,North Carolina,True,3205 34TH STREET DRIVE NE,†,†,HICKORY,28601,7702,1-Regular school,2-No,2-No,1-Yes,4-Eligible for Title I SWP provides no program,35.772116,-81.269091,9th Grade,12th Grade,1-Yes,1-Yes,1-Yes,1-Yes,1257,1257
SALEM ELEMENTARY,North Carolina,True,1329 SALEM ROAD,†,†,MORGANTON,28655,4835,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.696080,-81.700770,Prekindergarten,5th Grade,2-No,2-No,2-No,2-No,576,†
SALEM ELEMENTARY,North Carolina,True,6116 OLD JENKS ROAD,†,†,APEX,27523,†,1-Regular school,2-No,2-No,2-No,6-Not eligible for either TAS or SWP,35.756221,-78.850607,Prekindergarten,5th Grade,2-No,2-No,2-No,2-No,722,†
SAWMILLS ELEMENTARY,North Carolina,True,4436 SAWMILLS SCHOOL ROAD,†,†,GRANITE FALLS,28630,9488,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.818624,-81.479207,Kindergarten,5th Grade,2-No,2-No,2-No,2-No,322,†
SHERRILLS FORD ELEMENTARY,North Carolina,True,8103 SHERRILLS FORD ROAD,†,†,SHERRILLS FORD,28673,"=""0010""",1-Regular school,2-No,2-No,2-No,6-Not eligible for either TAS or SWP,35.621421,-80.988039,Kindergarten,6th Grade,2-No,2-No,2-No,2-No,530,†
SHUFORD ELEMENTARY,North Carolina,True,810 HUNSUCKER DRIVE,†,†,CONOVER,28613,9499,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.716600,-81.198290,Kindergarten,5th Grade,2-No,2-No,2-No,2-No,540,†
SNOW CREEK ELEMENTARY,North Carolina,True,3238 SNOW CREEK RD,†,†,HICKORY,28601,†,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.782320,-81.266320,Prekindergarten,6th Grade,2-No,2-No,2-No,2-No,563,†
SOUTH CALDWELL HIGH,North Carolina,True,7035 SPARTAN DRIVE,†,†,HUDSON,28638,9540,1-Regular school,2-No,2-No,1-Yes,1-Eligible for Title I TAS provides no program,35.821653,-81.450794,9th Grade,12th Grade,1-Yes,1-Yes,1-Yes,1-Yes,1618,1618
SOUTH NEWTON ELEMENTARY,North Carolina,True,306 WEST I STREET,†,†,NEWTON,28658,3903,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.655290,-81.228881,Kindergarten,5th Grade,2-No,2-No,2-No,2-No,356,†
SOUTH TOE ELEMENTARY,North Carolina,True,139 SOUTH TOE SCHOOL RD,†,†,BURNSVILLE,28714,†,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.840493,-82.188096,Kindergarten,5th Grade,2-No,2-No,2-No,2-No,119,†
SOUTHWEST ELEMENTARY,North Carolina,True,1580 32ND STREET SW,†,†,HICKORY,28602,4633,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.709256,-81.386983,Prekindergarten,5th Grade,2-No,2-No,2-No,2-No,322,†
SOUTHWEST ELEMENTARY,North Carolina,True,1631 SOUTHWEST SCHOOL DRIVE,†,†,CLEMMONS,27012,9204,1-Regular school,2-No,2-No,1-Yes,4-Eligible for Title I SWP provides no program,36.066860,-80.383287,Prekindergarten,5th Grade,2-No,2-No,2-No,2-No,471,†
SOUTHWEST ELEMENTARY,North Carolina,True,2601 BURGAW HWY,†,†,JACKSONVILLE,28540,†,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,34.733160,-77.527251,Prekindergarten,5th Grade,2-No,2-No,2-No,2-No,770,†
SOUTHWEST ELEMENTARY,North Carolina,True,2320 COOK ROAD,†,†,DURHAM,27713,2735,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.928914,-78.923960,Prekindergarten,5th Grade,2-No,2-No,2-No,2-No,666,†
SPARTA ELEMENTARY,North Carolina,True,450 N MAIN STREET,†,†,SPARTA,28675,†,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,36.514390,-81.122700,Prekindergarten,8th Grade,2-No,2-No,2-No,2-No,593,†
STARTOWN ELEMENTARY,North Carolina,True,4119 STARTOWN ROAD,†,†,NEWTON,28658,8603,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.642230,-81.268980,Prekindergarten,6th Grade,2-No,2-No,2-No,2-No,535,†
STONY POINT ELEMENTARY,North Carolina,True,311 STONY POINT SCHOOL ROAD,†,†,STONY POINT,28678,†,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.869527,-81.048396,Prekindergarten,5th Grade,2-No,2-No,2-No,2-No,271,†
SUGAR LOAF ELEMENTARY,North Carolina,True,3600 NC HWY 16N,†,†,TAYLORSVILLE,28681,9126,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.970388,-81.191865,Kindergarten,5th Grade,2-No,2-No,2-No,2-No,239,†
TABLE ROCK MIDDLE,North Carolina,True,1585 NC 126,†,†,MORGANTON,28655,†,1-Regular school,2-No,2-No,1-Yes,4-Eligible for Title I SWP provides no program,35.752330,-81.761250,6th Grade,8th Grade,2-No,2-No,2-No,2-No,560,†
TAYLORSVILLE ELEMENTARY,North Carolina,True,100 7TH STREET SW,†,†,TAYLORSVILLE,28681,2409,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.919882,-81.183409,Kindergarten,5th Grade,2-No,2-No,2-No,2-No,280,†
TRAPHILL ELEMENTARY,North Carolina,True,9794 TRAPHILL RD,†,†,TRAPHILL,28685,†,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,36.347290,-81.028930,Prekindergarten,5th Grade,2-No,2-No,2-No,2-No,170,†
TWO RIVERS COMMUNITY SCHOOL,North Carolina,True,1018 ARCHIE CARROLL ROAD,†,†,BOONE,28607,†,1-Regular school,2-No,1-Yes,1-Yes,2-Eligible for Title I TAS provides TAS program,36.227010,-81.614491,Kindergarten,8th Grade,2-No,2-No,2-No,2-No,186,†
VALDESE ELEMENTARY,North Carolina,True,298 PRALEY STREET,†,†,VALDESE,28690,†,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.745670,-81.567974,Prekindergarten,5th Grade,2-No,2-No,2-No,2-No,418,†
VALLE CRUCIS ELEMENTARY,North Carolina,True,2998 BROADSTONE ROAD,†,†,SUGAR GROVE,28679,†,1-Regular school,2-No,2-No,1-Yes,4-Eligible for Title I SWP provides no program,36.209930,-81.778747,Prekindergarten,8th Grade,2-No,2-No,2-No,2-No,356,†
VALMEAD ELEMENTARY,North Carolina,True,111 ELIZABETH DRIVE NW,†,†,LENOIR,28645,3936,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.937205,-81.540312,Prekindergarten,5th Grade,2-No,2-No,2-No,2-No,197,†
VIEWMONT ELEMENTARY,North Carolina,True,21 16TH AVENUE NW,†,†,HICKORY,28601,2533,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.752999,-81.339328,Prekindergarten,5th Grade,2-No,2-No,2-No,2-No,598,†
W A YOUNG ELEMENTARY,North Carolina,True,325 CONLEY ROAD,†,†,MORGANTON,28655,†,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.718450,-81.768440,Prekindergarten,5th Grade,2-No,2-No,2-No,2-No,390,†
W M JENKINS ELEMENTARY,North Carolina,True,3750 N CENTER STREET,†,†,HICKORY,28601,8007,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.778969,-81.323134,Prekindergarten,5th Grade,2-No,2-No,2-No,2-No,411,†
