,State Name [Public School] Latest available year,School Name [Public School] 2014-15,Location Address 1 [Public School] 2014-15,Location City [Public School] 2014-15,Location ZIP [Public School] 2014-15,Location ZIP4 [Public School] 2014-15,School Type [Public School] 2014-15,Magnet School [Public School] 2014-15,Charter School [Public School] 2014-15,Title I Eligible School [Public School] 2014-15,Title I School Status [Public School] 2014-15,Latitude [Public School] 2014-15,Longitude [Public School] 2014-15,Lowest Grade Offered [Public School] 2014-15,Highest Grade Offered [Public School] 2014-15,Grade 12 offered [Public School] 2014-15,Grade 11 offered [Public School] 2014-15,Grade 10 offered [Public School] 2014-15,Grade 9 offered [Public School] 2014-15,Total Students All Grades (Excludes AE) [Public School] 2014-15,Grades 9-12 Students [Public School] 2014-15,Biology,English,Math
106,North Carolina,East Davidson High,1408 LAKE ROAD,THOMASVILLE,27360,6031,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,35.850167,-80.101925,9th Grade,12th Grade,1,1,1,1,958,958,57.4,57.3,55.9
107,North Carolina,East Duplin High,394 NORTH NC HIGHWAY 111,BEULAVILLE,28518,999999,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,34.939216,-77.784213,9th Grade,12th Grade,1,1,1,1,995,995,41.9,46.7,50.0
108,North Carolina,East Forsyth High,2500 W MOUNTAIN STREET,KERNERSVILLE,27284,8099,1-Regular school,0,0,1,1-Eligible for Title I TAS provides no program,36.117527,-80.150532,9th Grade,12th Grade,1,1,1,1,1899,1899,55.6,54.9,51.7
109,North Carolina,East Gaston High,1744 LANE ROAD,MOUNT HOLLY,28120,9801,1-Regular school,0,0,0,6-Not eligible for either TAS or SWP,35.315441,-81.075626,9th Grade,12th Grade,1,1,1,1,1122,1122,57.0,48.2,53.5
110,North Carolina,East Henderson High,110 OLD UPWARD ROAD,EAST FLAT ROCK,28726,2098,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,35.297618,-82.424020,9th Grade,12th Grade,1,1,1,1,936,936,58.7,67.3,73.9
111,North Carolina,East Lincoln High,6471 HWY 73,DENVER,28037,9527,1-Regular school,0,0,0,6-Not eligible for either TAS or SWP,35.454121,-81.025771,9th Grade,12th Grade,1,1,1,1,924,924,60.3,65.5,61.7
112,North Carolina,East Mecklenburg High,6800 MONROE RD,CHARLOTTE,28212,6821,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,35.176007,-80.757978,9th Grade,12th Grade,1,1,1,1,1840,1840,57.8,72.3,63.4
113,North Carolina,East Montgomery High,157 EAGLE LANE,BISCOE,27209,9729,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,35.339379,-79.777223,9th Grade,12th Grade,1,1,1,1,632,632,46.1,45.7,75.0
114,North Carolina,East Rowan High,175 ST LUKE'S CHURCH RD,SALISBURY,28146,999999,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,35.593432,-80.423361,9th Grade,12th Grade,1,1,1,1,1055,1055,34.3,56.7,33.0
115,North Carolina,East Rutherford High School,331 EAST HIGH ROAD,BOSTIC,28018,"=""0635""",1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,35.340594,-81.818253,9th Grade,12th Grade,1,1,1,1,714,714,44.2,57.5,62.1
116,North Carolina,East Surry High,801 W MAIN STREET,PILOT MOUNTAIN,27041,9318,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,36.394408,-80.477896,9th Grade,12th Grade,1,1,1,1,641,641,72.1,65.1,63.8
117,North Carolina,East Wake Academy,400 NMC DRIVE,ZEBULON,27597,999999,1-Regular school,0,1,1,2-Eligible for Title I TAS provides TAS program,35.831971,-78.306580,Kindergarten,12th Grade,1,1,1,1,1139,314,84.5,79.3,82.9
118,North Carolina,East Wilkes High,13315 ELKIN HWY 268,RONDA,28670,999999,1-Regular school,0,0,0,6-Not eligible for either TAS or SWP,36.226446,-80.927589,9th Grade,12th Grade,1,1,1,1,548,548,54.1,62.5,46.7
119,North Carolina,Eastern Alamance High,4040 MEBANE ROGERS,MEBANE,27302,9729,1-Regular school,0,0,1,1-Eligible for Title I TAS provides no program,36.113804,-79.301732,9th Grade,12th Grade,1,1,1,1,1256,1256,61.4,63.8,63.9
120,North Carolina,Eastern Guilford High,415 PEEDEN DRIVE,GIBSONVILLE,27249,9218,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,36.093333,-79.615268,9th Grade,12th Grade,1,1,1,1,1168,1168,37.9,56.9,38.8
121,North Carolina,Eastern Randolph High,390 EASTERN RANDOLPH RD,RAMSEUR,27316,9498,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,35.755283,-79.616972,9th Grade,12th Grade,1,1,1,1,821,821,40.1,45.6,23.9
122,North Carolina,Eastern Wayne High,1135 NEW HOPE ROAD,GOLDSBORO,27534,8899,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,35.377732,-77.880540,9th Grade,12th Grade,1,1,1,1,1051,1051,41.3,47.3,37.0
123,North Carolina,Edgecombe Early College High,2009 WEST WILSON ST,TARBORO,27886,999999,1-Regular school,0,0,0,6-Not eligible for either TAS or SWP,35.879440,-77.572250,9th Grade,13th Grade,1,1,1,1,154,125,80.0,87.8,87.5
124,North Carolina,Elkin High,334 ELK SPUR ST,ELKIN,28621,3308,1-Regular school,0,0,1,1-Eligible for Title I TAS provides no program,36.249551,-80.858991,9th Grade,12th Grade,1,1,1,1,393,393,71.4,74.7,77.0
125,North Carolina,Emsley A Laney High,2700 N COLLEGE RD,WILMINGTON,28405,8816,1-Regular school,0,0,1,1-Eligible for Title I TAS provides no program,34.298668,-77.872454,9th Grade,12th Grade,1,1,1,1,2141,2131,63.0,64.5,60.8
126,North Carolina,Enka High,475 ENKA LAKE ROAD,CANDLER,28715,999999,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,35.529711,-82.665806,9th Grade,12th Grade,1,1,1,1,1237,1237,72.9,58.7,43.9
127,North Carolina,Erwin High,60 LEES CREEK ROAD,ASHEVILLE,28806,2110,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,35.619534,-82.626405,9th Grade,12th Grade,1,1,1,1,1328,1328,59.5,49.5,48.1
128,North Carolina,Eugene Ashley High,555 HALYBURTON MEMORIAL PARKWY,WILMINGTON,28412,999999,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,34.100150,-77.911351,9th Grade,12th Grade,1,1,1,1,1874,1873,59.5,63.7,59.8
129,North Carolina,Fairmont High,5419 OLD STAGE ROAD,FAIRMONT,28340,9454,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,34.472385,-79.101855,9th Grade,12th Grade,1,1,1,1,744,744,39.9,52.3,28.6
130,North Carolina,Falls Lake Academy,1701 EAST LYON STATION ROAD,CREEDMOOR,27522,999999,1-Regular school,0,1,0,6-Not eligible for either TAS or SWP,36.110423,-78.735079,Kindergarten,8th Grade,0,0,0,0,421,999999,70.3,80.9,78.2
131,North Carolina,Farmville Central High,3308 E WILSON STREET,FARMVILLE,27828,"=""0209""",1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,35.593868,-77.568892,9th Grade,12th Grade,1,1,1,1,786,786,49.7,47.9,51.4
132,North Carolina,Fike High,500 HARRISON DR N,WILSON,27893,1720,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,35.752893,-77.922225,9th Grade,12th Grade,1,1,1,1,1310,1310,52.9,54.2,49.8
133,North Carolina,First Flight High School,100 VETERANS DRIVE,KILL DEVIL HILLS,27948,999999,1-Regular school,0,0,0,6-Not eligible for either TAS or SWP,36.008836,-75.666492,9th Grade,12th Grade,1,1,1,1,807,807,74.1,83.4,58.9
134,North Carolina,Forbush High,1525 FALCON ROAD,EAST BEND,27018,9621,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,36.141350,-80.556340,8th Grade,12th Grade,1,1,1,1,904,904,59.6,57.6,51.6
135,North Carolina,Forest Hills High,100 FOREST HILLS SCHOOL RD,MARSHVILLE,28103,"=""0648""",1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,34.979287,-80.413314,9th Grade,12th Grade,1,1,1,1,937,937,29.5,45.9,46.5
136,North Carolina,Forestview High,5545 UNION ROAD,GASTONIA,28056,999999,1-Regular school,0,0,0,6-Not eligible for either TAS or SWP,35.183439,-81.135602,9th Grade,12th Grade,1,1,1,1,1143,1143,79.5,66.7,54.1
137,North Carolina,Franklin Academy,1127 CHALKS RD,WAKE FOREST,27587,999999,1-Regular school,0,1,0,6-Not eligible for either TAS or SWP,35.955650,-78.487311,Kindergarten,12th Grade,1,1,1,1,1639,488,77.9,93.4,76.9
138,North Carolina,Franklin County Early College,8150 NC HIGHWAY 56,LOUISBURG,27549,999999,1-Regular school,0,0,0,6-Not eligible for either TAS or SWP,36.086177,-78.330658,9th Grade,13th Grade,1,1,1,1,172,151,83.7,90.7,83.0
139,North Carolina,Franklin High,100 PANTHER DRIVE,FRANKLIN,28734,2785,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,35.176551,-83.382383,9th Grade,12th Grade,1,1,1,1,931,931,54.6,61.6,56.4
140,North Carolina,Franklinton High,910 CEDAR CREEK ROAD,FRANKLINTON,27525,999999,1-Regular school,0,0,0,6-Not eligible for either TAS or SWP,36.069620,-78.436031,9th Grade,12th Grade,1,1,1,1,1008,1008,60.0,62.4,59.6
141,North Carolina,Fred T Foard High,3407 PLATEAU ROAD,NEWTON,28658,9776,1-Regular school,0,0,1,1-Eligible for Title I TAS provides no program,35.617507,-81.371066,9th Grade,12th Grade,1,1,1,1,1025,1025,56.6,66.4,53.8
142,North Carolina,Freedom High,511 INDEPENDENCE BOULEVARD,MORGANTON,28655,999999,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,35.745194,-81.720672,9th Grade,12th Grade,1,1,1,1,1178,1178,53.2,60.5,49.3
143,North Carolina,Fuquay-Varina High,201 BENGAL BLVD,FUQUAY-VARINA,27526,1603,1-Regular school,0,0,0,6-Not eligible for either TAS or SWP,35.597889,-78.797234,9th Grade,12th Grade,1,1,1,1,2117,2117,68.2,71.2,67.5
144,North Carolina,Garinger High,1100 EASTWAY DR,CHARLOTTE,28205,999999,1-Regular school,0,0,1,5-Eligible for Title I SWP provides SWP program,35.241104,-80.782811,9th Grade,12th Grade,1,1,1,1,1748,1748,33.3,30.3,33.4
145,North Carolina,Garner High,2101 SPRING DR,GARNER,27529,3423,1-Regular school,1,0,1,4-Eligible for Title I SWP provides no program,35.710798,-78.635160,9th Grade,12th Grade,1,1,1,1,2650,2650,40.0,51.2,50.2
146,North Carolina,Gaston College Preparatory,320 PLEASANT HILL ROAD,GASTON,27832,999999,1-Regular school,0,1,1,5-Eligible for Title I SWP provides SWP program,36.504587,-77.639204,Kindergarten,12th Grade,1,1,1,1,1046,332,81.3,84.8,63.8
147,North Carolina,Gaston Early College High School,GASTON COLLEGE LENA SUE BEAM B,DALLAS,28034,999999,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,35.311484,-81.189418,9th Grade,13th Grade,1,1,1,1,170,154,95.0,95.0,95.0
148,North Carolina,Gates County Senior High,"=""088 HWY 158 WEST""",GATESVILLE,27938,9438,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,36.447458,-76.704504,9th Grade,12th Grade,1,1,1,1,539,539,62.2,67.4,53.1
149,North Carolina,Goldsboro High,901 E BEECH STREET,GOLDSBORO,27530,999999,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,35.386752,-77.979992,9th Grade,12th Grade,1,1,1,1,545,545,14.9,17.3,9.1
150,North Carolina,Graham High,903 TROLLINGER ROAD,GRAHAM,27253,1945,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,36.076690,-79.380770,9th Grade,12th Grade,1,1,1,1,804,804,27.6,39.3,37.5
151,North Carolina,Granville Central High,2043 SANDERS RD,STEM,27581,999999,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,36.207623,-78.687185,9th Grade,12th Grade,1,1,1,1,569,569,53.5,47.6,60.0
152,North Carolina,Granville Early College High,1552 SOUTH CAMPUS DR,CREEDMOOR,27522,999999,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,36.141700,-78.721306,9th Grade,13th Grade,1,1,1,1,218,200,95.0,93.2,89.8
153,North Carolina,Gray Stone Day,49464 MERNER TERRACE,MISENHEIMER,28109,999999,1-Regular school,0,1,0,6-Not eligible for either TAS or SWP,35.483510,-80.276340,9th Grade,12th Grade,1,1,1,1,411,411,75.2,89.3,77.5
154,North Carolina,Green Hope High,2500 CARPENTER UPCHURCH ROAD,CARY,27519,999999,1-Regular school,0,0,0,6-Not eligible for either TAS or SWP,35.804992,-78.867007,9th Grade,12th Grade,1,1,1,1,2380,2380,82.8,88.2,88.2
155,North Carolina,Greene Central High,140 SCHOOL DRIVE,SNOW HILL,28580,9798,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,35.479919,-77.670315,9th Grade,12th Grade,1,1,1,1,900,900,28.6,35.6,32.6
156,North Carolina,Greene Early College High,818 HIGHWAY 91,SNOW HILL,28580,999999,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,35.475863,-77.670521,9th Grade,13th Grade,1,1,1,1,157,135,91.2,93.6,76.7
157,North Carolina,Grimsley High,801 WESTOVER TERRACE,GREENSBORO,27408,8298,1-Regular school,0,0,1,1-Eligible for Title I TAS provides no program,36.084338,-79.815997,9th Grade,12th Grade,1,1,1,1,1719,1719,63.9,71.5,71.6
158,North Carolina,GTCC Middle College High,601 EAST MAIN STREET,JAMESTOWN,27282,999999,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,35.998253,-79.918162,9th Grade,13th Grade,1,1,1,1,187,175,75.6,75.9,70.5
159,North Carolina,Harding University High,2001 ALLEGHANY ST,CHARLOTTE,28208,3734,1-Regular school,1,0,1,5-Eligible for Title I SWP provides SWP program,35.236952,-80.902359,9th Grade,12th Grade,1,1,1,1,1747,1747,19.6,34.9,33.4
160,North Carolina,Harnett Central High,2911 HARNETT CENTRAL RD,ANGIER,27501,9804,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,35.463493,-78.779910,9th Grade,12th Grade,1,1,1,1,1541,1541,54.2,48.5,31.4
161,North Carolina,Havelock High,101 WEBB BOULEVARD,HAVELOCK,28532,1952,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,34.880481,-76.893569,9th Grade,12th Grade,1,1,1,1,1119,1119,56.3,64.8,68.7
162,North Carolina,Hawthorne High,2300 W SUGAR CREEK RD,CHARLOTTE,28262,999999,1-Regular school,0,0,1,5-Eligible for Title I SWP provides SWP program,35.295070,-80.795681,6th Grade,12th Grade,1,1,1,1,135,133,74.6,82.8,80.3
163,North Carolina,Hayesville High,205 YELLOW JACKET DRIVE,HAYESVILLE,28904,9762,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,35.040513,-83.813602,9th Grade,12th Grade,1,1,1,1,383,383,52.0,55.2,55.8
164,North Carolina,Haywood Early College,185 FREEDLANDER DRIVE,CLYDE,28721,999999,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,35.526397,-82.927756,9th Grade,13th Grade,1,1,1,1,156,142,80.0,95.0,95.0
165,North Carolina,Heide Trask High,14328 NC HWY 210,ROCKY POINT,28457,999999,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,34.437792,-77.892530,9th Grade,12th Grade,1,1,1,1,685,685,44.1,38.6,52.7
166,North Carolina,Henderson Collegiate,906 HEALTH CENTER ROAD,HENDERSON,27536,999999,1-Regular school,0,1,1,5-Eligible for Title I SWP provides SWP program,36.319600,-78.393361,4th Grade,8th Grade,0,0,0,0,498,999999,93.9,95.0,93.6
167,North Carolina,Henderson County Early College,120 ALUMNI WAY,FLAT ROCK,28731,999999,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,35.307269,-82.422577,9th Grade,13th Grade,1,1,1,1,202,165,95.0,95.0,95.0
168,North Carolina,Hendersonville High,1 BEARCAT BOULEVARD,HENDERSONVILLE,28791,3657,1-Regular school,0,0,1,1-Eligible for Title I TAS provides no program,35.321409,-82.464217,9th Grade,12th Grade,1,1,1,1,770,770,77.4,84.1,71.8
169,North Carolina,Heritage High,1150 FORESTVILLE ROAD,WAKE FOREST,27587,999999,1-Regular school,0,0,0,6-Not eligible for either TAS or SWP,35.940140,-78.511001,9th Grade,12th Grade,1,1,1,1,1910,1910,63.3,74.7,74.0
170,North Carolina,Hertford Co Early College,109 COMMUNITY COLLEGE RD,AHOSKIE,27910,999999,1-Regular school,0,0,1,5-Eligible for Title I SWP provides SWP program,36.323840,-77.019391,9th Grade,13th Grade,1,1,1,1,127,111,78.6,79.3,72.3
171,North Carolina,Hertford County High,1500 W FIRST ST,AHOSKIE,27910,1326,1-Regular school,0,0,1,5-Eligible for Title I SWP provides SWP program,36.296584,-76.998176,9th Grade,12th Grade,1,1,1,1,703,703,48.9,40.7,19.0
172,North Carolina,Hibriten High,1350 PANTHER TRAIL SE,LENOIR,28645,999999,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,35.925510,-81.493751,9th Grade,12th Grade,1,1,1,1,824,823,65.8,67.0,50.2
173,North Carolina,Hickory High,1234 3RD STREET NE,HICKORY,28601,2605,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,35.749647,-81.331794,9th Grade,12th Grade,1,1,1,1,1018,1018,41.8,54.6,44.1
174,North Carolina,Hickory Ridge High,7321 RAGING RIDGE ROAD,HARRISBURG,28075,7645,1-Regular school,0,0,0,6-Not eligible for either TAS or SWP,35.307787,-80.634948,9th Grade,12th Grade,1,1,1,1,1573,1573,70.8,70.4,68.9
175,North Carolina,High Point Central High,801 FERNDALE BOULEVARD,HIGH POINT,27262,4798,1-Regular school,1,0,1,4-Eligible for Title I SWP provides no program,35.957950,-80.023120,9th Grade,12th Grade,1,1,1,1,1454,1454,29.5,40.8,52.6
176,North Carolina,Highland Sch of Technology,1600 N MORRIS STREET,GASTONIA,28052,999999,1-Regular school,1,0,0,6-Not eligible for either TAS or SWP,35.280405,-81.190733,9th Grade,12th Grade,1,1,1,1,555,555,95.0,95.0,95.0
177,North Carolina,Highlands School,545 PIERSON DR,HIGHLANDS,28741,"=""0940""",1-Regular school,0,0,1,5-Eligible for Title I SWP provides SWP program,35.046853,-83.196938,Kindergarten,12th Grade,1,1,1,1,351,121,69.2,80.0,93.1
178,North Carolina,Hillside High,3727 FAYETTEVILLE ST,DURHAM,27707,999999,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,35.953277,-78.903598,9th Grade,12th Grade,1,1,1,1,1318,1318,30.8,42.6,28.5
179,North Carolina,Hillside New Tech High,3727 FAYETTEVILLE ST,DURHAM,27707,999999,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,35.953277,-78.903598,9th Grade,12th Grade,1,1,1,1,273,273,59.6,62.7,36.8
180,North Carolina,Hiwassee Dam High,267 BLUE EAGLE CIRCLE,MURPHY,28906,999999,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,35.103859,-84.223650,9th Grade,12th Grade,1,1,1,1,203,203,56.3,73.2,59.6
181,North Carolina,Hobbton High,12201 HOBBTON HWY,NEWTON GROVE,28366,7246,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,35.177810,-78.328370,9th Grade,12th Grade,1,1,1,1,557,557,38.9,65.9,65.4
182,North Carolina,Hoke County High,505 S BETHEL ROAD,RAEFORD,28376,3128,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,34.972957,-79.234343,9th Grade,12th Grade,1,1,1,1,1972,1972,44.0,46.9,67.0
183,North Carolina,Holly Springs High,5329 CASS HOLT ROAD,HOLLY SPRINGS,27540,999999,1-Regular school,0,0,0,6-Not eligible for either TAS or SWP,35.628900,-78.848821,9th Grade,12th Grade,1,1,1,1,2418,2418,70.9,77.7,71.4
184,North Carolina,Hopewell High,11530 BEATTIES FORD RD,HUNTERSVILLE,28078,999999,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,35.378392,-80.911004,9th Grade,12th Grade,1,1,1,1,1653,1653,50.3,52.9,52.9
185,North Carolina,Hugh M Cummings High,2200 N MEBANE STREET,BURLINGTON,27217,4332,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,36.088669,-79.396442,9th Grade,12th Grade,1,1,1,1,932,932,75.0,39.6,36.9
186,North Carolina,Hunter Huss High,1518 EDGEFIELD AVENUE,GASTONIA,28052,5299,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,35.240637,-81.206875,9th Grade,12th Grade,1,1,1,1,1148,1148,45.9,43.2,39.4
187,North Carolina,Independence High,1967 PATRIOT DR,CHARLOTTE,28227,4198,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,35.197168,-80.687432,9th Grade,12th Grade,1,1,1,1,2349,2349,55.4,62.8,57.3
188,North Carolina,Invest Collegiate - Imagine,1000 BREVARD ROAD STE. 175,ASHEVILLE,28806,999999,1-Regular school,0,1,0,6-Not eligible for either TAS or SWP,35.525000,-82.606561,Kindergarten,10th Grade,0,0,1,1,342,22,51.7,50.0,59.5
189,North Carolina,J D Clement Early College HS,1801 FAYETTEVILLE STREET,DURHAM,27707,999999,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,35.974670,-78.898051,9th Grade,12th Grade,1,1,1,1,352,352,94.8,89.7,95.0
190,North Carolina,J F Kennedy High,890 E 11TH STREET,WINSTON SALEM,27101,999999,4-Alternative/other school,1,0,1,5-Eligible for Title I SWP provides SWP program,36.106750,-80.234701,6th Grade,12th Grade,1,1,1,1,344,217,28.3,44.2,49.2
191,North Carolina,J. F. Webb High,3200 WEBB SCHOOL RD,OXFORD,27565,7327,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,36.343600,-78.604437,9th Grade,12th Grade,1,1,1,1,615,615,31.2,33.3,28.3
192,North Carolina,Jack Britt High,7403 ROCKFISH ROAD,FAYETTEVILLE,28306,999999,1-Regular school,0,0,0,6-Not eligible for either TAS or SWP,34.977498,-79.011098,9th Grade,12th Grade,1,1,1,1,1941,1941,79.9,81.1,75.3
193,North Carolina,Jackson Co Early College,404 COLLEGE DRIVE,SYLVA,28779,999999,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,35.347264,-83.204440,9th Grade,13th Grade,1,1,1,1,145,132,84.8,95.0,71.4
194,North Carolina,Jacksonville High,1021 HENDERSON DR,JACKSONVILLE,28540,7423,1-Regular school,0,0,1,1-Eligible for Title I TAS provides no program,34.783917,-77.427045,9th Grade,12th Grade,1,1,1,1,1218,1218,49.3,60.1,47.3
195,North Carolina,James B Dudley High,1200 LINCOLN STREET,GREENSBORO,27401,3798,1-Regular school,0,0,1,5-Eligible for Title I SWP provides SWP program,36.060828,-79.763503,9th Grade,12th Grade,1,1,1,1,1418,1418,32.0,43.6,29.9
196,North Carolina,James Hunt High,4559 LAMM RD,WILSON,27893,9632,1-Regular school,0,0,0,6-Not eligible for either TAS or SWP,35.722528,-77.998967,9th Grade,12th Grade,1,1,1,1,1375,1375,41.1,51.3,39.8
197,North Carolina,James Kenan High,1241 NC 24 & 50,WARSAW,28398,9533,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,34.984522,-78.043144,9th Grade,12th Grade,1,1,1,1,728,728,36.5,34.8,41.4
198,North Carolina,Jay M Robinson High,300 PITTS SCHOOL ROAD SW,CONCORD,28027,2823,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,35.362979,-80.661366,9th Grade,12th Grade,1,1,1,1,1339,1339,47.5,46.9,45.3
199,North Carolina,JF Webb HS Of Health And Life Sciences,3200 WEBB SCHOOL RD,OXFORD,27565,999999,1-Regular school,0,0,0,6-Not eligible for either TAS or SWP,36.337910,-78.597163,9th Grade,12th Grade,1,1,1,1,304,304,50.0,70.3,52.6
200,North Carolina,Jimmy C Draughn High School,709 LOVELADY ROAD NE,VALDESE,28690,999999,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,35.767070,-81.544041,9th Grade,12th Grade,1,1,1,1,722,722,72.2,56.7,70.9
201,North Carolina,John A Holmes High,600 WOODARD STREET,EDENTON,27932,"=""0409""",1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,36.066548,-76.604733,9th Grade,12th Grade,1,1,1,1,659,659,41.6,50.0,32.0
202,North Carolina,John M Morehead High,134 N PIERCE ST,EDEN,27288,3599,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,36.504629,-79.735354,9th Grade,12th Grade,1,1,1,1,940,940,32.9,38.1,30.3
203,North Carolina,John T Hoggard High,4305 SHIPYARD BLVD,WILMINGTON,28403,6160,1-Regular school,0,0,0,6-Not eligible for either TAS or SWP,34.199614,-77.892867,9th Grade,12th Grade,1,1,1,1,1786,1785,72.6,73.7,72.1
204,North Carolina,Johnston Co Early College Academy,235 COLLEGE RD,SMITHFIELD,27520,999999,1-Regular school,0,0,0,6-Not eligible for either TAS or SWP,35.504134,-78.330645,9th Grade,13th Grade,1,1,1,1,244,202,86.4,83.3,87.8
205,North Carolina,Jones Senior High,1490 HWY 58 SOUTH,TRENTON,28585,999999,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,35.054220,-77.482360,9th Grade,12th Grade,1,1,1,1,333,332,64.6,72.4,54.3
206,North Carolina,Jordan Matthews High,910 EAST CARDINAL STREET,SILER CITY,27344,3308,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,35.723900,-79.452430,9th Grade,12th Grade,1,1,1,1,765,765,42.6,47.1,36.5
207,North Carolina,Junius H Rose High,600 W ARLINGTON BLVD,GREENVILLE,27834,5724,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,35.593934,-77.384236,9th Grade,12th Grade,1,1,1,1,1440,1440,53.6,52.7,53.3
208,North Carolina,Kestrel Heights School,4700 S ALSTON AVE,DURHAM,27713,999999,1-Regular school,0,1,0,6-Not eligible for either TAS or SWP,35.898310,-78.890451,Kindergarten,12th Grade,1,1,1,1,1015,312,39.2,45.1,52.7
209,North Carolina,Kings Mountain High,500 PHIFER ROAD,KINGS MOUNTAIN,28086,1489,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,35.234417,-81.369876,9th Grade,12th Grade,1,1,1,1,1272,1272,72.9,65.8,59.9
210,North Carolina,Kinston High,2601 N QUEEN ST,KINSTON,28501,1799,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,35.295853,-77.575265,9th Grade,12th Grade,1,1,1,1,854,854,12.6,30.0,22.0
211,North Carolina,Knightdale High,100 BRYAN CHALK LANE,KNIGHTDALE,27545,999999,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,35.810850,-78.476188,9th Grade,12th Grade,1,1,1,1,1672,1672,22.5,40.8,31.4
212,North Carolina,Lake Norman Charter,12435 OLD STATESVILLE ROAD,HUNTERSVILLE,28078,999999,1-Regular school,0,1,0,6-Not eligible for either TAS or SWP,35.388475,-80.834755,5th Grade,12th Grade,1,1,1,1,1600,802,85.2,93.4,87.2
213,North Carolina,Lake Norman High,186 DOOLIE ROAD,MOORESVILLE,28117,999999,1-Regular school,0,0,0,6-Not eligible for either TAS or SWP,35.598270,-80.903811,9th Grade,12th Grade,1,1,1,1,1865,1865,71.7,73.8,79.7
214,North Carolina,Lakewood High,245 LAKEWOOD SCHOOL RD,SALEMBURG,28385,9118,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,34.990911,-78.501924,9th Grade,12th Grade,1,1,1,1,516,516,42.6,43.5,58.1
215,North Carolina,Langtree Charter Academy,154 FOUNDATION COURT,MOORESVILLE,28117,999999,1-Regular school,0,1,1,5-Eligible for Title I SWP provides SWP program,35.541310,-80.865240,Kindergarten,7th Grade,0,0,0,0,912,999999,44.4,80.0,63.7
